question,language,slug,topic,strategy,answer_relevancy,faithfulness,context_precision,context_recall,qid
"Around what year has Tamil been attested, making it one of the longest‑surviving classical languages?",en,tamil_language,Tamil language,recursive,0.4268916845321655,1.0,0.67,1.0,17
"Around what year has Tamil been attested, making it one of the longest‑surviving classical languages?",en,tamil_language,Tamil language,semantic,0.43767744302749634,1.0,0.67,1.0,17
"At approximately what distance from the Sun does the solar wind encounter the interstellar medium, forming the heliopause?",en,solar_system,Solar System,fixed,0.5410482883453369,1.0,0.33,1.0,18
"At approximately what distance from the Sun does the solar wind encounter the interstellar medium, forming the heliopause?",en,solar_system,Solar System,recursive,0.5283672213554382,1.0,0.6667,1.0,18
"At approximately what distance from the Sun does the solar wind encounter the interstellar medium, forming the heliopause?",en,solar_system,Solar System,semantic,0.5454961061477661,1.0,0.67,1.0,18
At what age was Gandhi called to the bar in London?,en,mahatma_gandhi,Mahatma Gandhi,fixed,0.6609850525856018,1.0,0.6667,1.0,21
At what age was Gandhi called to the bar in London?,en,mahatma_gandhi,Mahatma Gandhi,recursive,0.8478692770004272,1.0,0.6667,1.0,21
At what age was Gandhi called to the bar in London?,en,mahatma_gandhi,Mahatma Gandhi,semantic,0.8356707096099854,1.0,0.6666666667,1.0,21
"At what ages did Raman complete his secondary and higher secondary education, and at which school?",en,c_v_raman,C. V. Raman,fixed,0.7669363021850586,1.0,0.6667,1.0,22
"At what ages did Raman complete his secondary and higher secondary education, and at which school?",en,c_v_raman,C. V. Raman,recursive,0.7824128866195679,1.0,1.0,1.0,22
"At what ages did Raman complete his secondary and higher secondary education, and at which school?",en,c_v_raman,C. V. Raman,semantic,0.7719876170158386,1.0,0.67,1.0,22
At what elevation does the Kaveri river originate at Talakaveri?,en,kaveri_river,Kaveri River,fixed,0.8340027332305908,1.0,0.67,1.0,24
At what elevation does the Kaveri river originate at Talakaveri?,en,kaveri_river,Kaveri River,recursive,0.8117440342903137,1.0,0.67,1.0,24
At what elevation does the Kaveri river originate at Talakaveri?,en,kaveri_river,Kaveri River,semantic,0.8234977722167969,1.0,0.33,1.0,24
At which Indian institute was Kalam delivering a lecture when he collapsed and died?,en,a_p_j_abdul_kalam,A. P. J. Abdul Kalam,fixed,0.6960757970809937,1.0,0.67,1.0,26
At which Indian institute was Kalam delivering a lecture when he collapsed and died?,en,a_p_j_abdul_kalam,A. P. J. Abdul Kalam,recursive,0.5293495655059814,1.0,0.6667,1.0,26
At which Indian institute was Kalam delivering a lecture when he collapsed and died?,en,a_p_j_abdul_kalam,A. P. J. Abdul Kalam,semantic,0.5293495655059814,1.0,0.67,1.0,26
"Besides India, list two other nations where Tamil is an official language.",en,tamil_language,Tamil language,fixed,0.5169034600257874,1.0,0.67,1.0,27
"Besides India, list two other nations where Tamil is an official language.",en,tamil_language,Tamil language,recursive,0.4987606704235077,1.0,0.33,1.0,27
"Besides India, list two other nations where Tamil is an official language.",en,tamil_language,Tamil language,semantic,0.5169034600257874,1.0,0.67,1.0,27
Between which years did the Cholas hold a unified state over peninsular India south of the Tungabhadra River?,en,chola_dynasty,Chola dynasty,fixed,0.3310146927833557,1.0,0.67,1.0,28
Between which years did the Cholas hold a unified state over peninsular India south of the Tungabhadra River?,en,chola_dynasty,Chola dynasty,recursive,0.8237012624740601,1.0,1.0,1.0,28
Between which years did the Cholas hold a unified state over peninsular India south of the Tungabhadra River?,en,chola_dynasty,Chola dynasty,semantic,0.3310146927833557,1.0,0.33,1.0,28
"During the interregnum, which dynasty displaced the Cholas and other Tamil kingdoms in the 6th century?",en,chola_dynasty,Chola dynasty,fixed,0.2861469089984894,0.0,0.33,1.0,29
"During the interregnum, which dynasty displaced the Cholas and other Tamil kingdoms in the 6th century?",en,chola_dynasty,Chola dynasty,recursive,0.6227052807807922,1.0,0.33,1.0,29
"During the interregnum, which dynasty displaced the Cholas and other Tamil kingdoms in the 6th century?",en,chola_dynasty,Chola dynasty,semantic,0.7403485774993896,1.0,0.67,1.0,29
During which geological periods did the Western Ghats form?,en,western_ghats,Western Ghats,fixed,0.7947350740432739,1.0,0.6667,1.0,30
During which geological periods did the Western Ghats form?,en,western_ghats,Western Ghats,recursive,0.800296425819397,1.0,0.33,1.0,30
During which geological periods did the Western Ghats form?,en,western_ghats,Western Ghats,semantic,0.800296425819397,1.0,0.33,1.0,30
For how many years did Gandhi reside in South Africa?,en,mahatma_gandhi,Mahatma Gandhi,fixed,0.35628801584243774,1.0,0.67,1.0,31
For how many years did Gandhi reside in South Africa?,en,mahatma_gandhi,Mahatma Gandhi,recursive,0.35628801584243774,1.0,1.0,1.0,31
For how many years did Gandhi reside in South Africa?,en,mahatma_gandhi,Mahatma Gandhi,semantic,0.35628801584243774,1.0,0.67,1.0,31
From which Indian state does Bharatanatyam originate?,en,bharatanatyam,Bharatanatyam,fixed,0.3711286783218384,1.0,0.33,1.0,32
From which Indian state does Bharatanatyam originate?,en,bharatanatyam,Bharatanatyam,recursive,0.3711286783218384,1.0,1.0,1.0,32
From which Indian state does Bharatanatyam originate?,en,bharatanatyam,Bharatanatyam,semantic,0.3711286783218384,1.0,0.67,1.0,32
From which century and during whose reign are the earliest datable references to the Chola dynasty recorded?,en,chola_dynasty,Chola dynasty,fixed,0.74834144115448,1.0,0.33,1.0,33
From which century and during whose reign are the earliest datable references to the Chola dynasty recorded?,en,chola_dynasty,Chola dynasty,recursive,0.7417201399803162,1.0,0.33,1.0,33
From which century and during whose reign are the earliest datable references to the Chola dynasty recorded?,en,chola_dynasty,Chola dynasty,semantic,0.74834144115448,1.0,0.33,1.0,33
"How far is the closest star, Proxima Centauri, from the Solar System in astronomical units?",en,solar_system,Solar System,fixed,0.30300867557525635,1.0,0.33,1.0,37
"How far is the closest star, Proxima Centauri, from the Solar System in astronomical units?",en,solar_system,Solar System,recursive,0.30300867557525635,1.0,0.33,1.0,37
"How far is the closest star, Proxima Centauri, from the Solar System in astronomical units?",en,solar_system,Solar System,semantic,0.30300867557525635,1.0,0.33,1.0,37
How is the Kaveri river regarded in Southern Indian culture and religion?,en,kaveri_river,Kaveri River,fixed,0.760321855545044,1.0,0.67,1.0,39
How is the Kaveri river regarded in Southern Indian culture and religion?,en,kaveri_river,Kaveri River,recursive,0.7467854022979736,1.0,1.0,1.0,39
How is the Kaveri river regarded in Southern Indian culture and religion?,en,kaveri_river,Kaveri River,semantic,0.7171846628189087,1.0,0.67,1.0,39
"How long does a typical Bharatanatyam program last, and does the dancer change costume during it?",en,bharatanatyam,Bharatanatyam,fixed,0.8263189792633057,1.0,0.33,1.0,40
"How long does a typical Bharatanatyam program last, and does the dancer change costume during it?",en,bharatanatyam,Bharatanatyam,recursive,0.8383046388626099,1.0,0.67,1.0,40
"How long does a typical Bharatanatyam program last, and does the dancer change costume during it?",en,bharatanatyam,Bharatanatyam,semantic,0.8377556800842285,1.0,0.33,1.0,40
How long is the Western Ghats mountain range?,en,western_ghats,Western Ghats,fixed,0.7862542867660522,1.0,1.0,1.0,41
How long is the Western Ghats mountain range?,en,western_ghats,Western Ghats,recursive,0.8167003989219666,1.0,0.67,1.0,41
How long is the Western Ghats mountain range?,en,western_ghats,Western Ghats,semantic,0.8156536817550659,1.0,0.67,1.0,41
How many World Heritage Sites are located in Tamil Nadu?,en,tamil_nadu,Tamil Nadu,fixed,0.8855413198471069,1.0,0.67,1.0,43
How many World Heritage Sites are located in Tamil Nadu?,en,tamil_nadu,Tamil Nadu,recursive,0.8855413198471069,1.0,0.6667,1.0,43
How many World Heritage Sites are located in Tamil Nadu?,en,tamil_nadu,Tamil Nadu,semantic,0.8855413198471069,1.0,0.33,1.0,43
"How many peaks in the Himalayas exceed an elevation of 7,200 metres?",en,himalayas,Himalayas,fixed,0.8233430981636047,1.0,0.33,1.0,47
"How many peaks in the Himalayas exceed an elevation of 7,200 metres?",en,himalayas,Himalayas,recursive,0.8233430981636047,1.0,0.33,1.0,47
"How many peaks in the Himalayas exceed an elevation of 7,200 metres?",en,himalayas,Himalayas,semantic,0.8299182653427124,1.0,0.33,1.0,47
"How tall is the southern tower, the tallest gopuram, and when was it constructed?",en,meenakshi_amman_temple,Meenakshi Amman Temple,fixed,0.8032976388931274,1.0,1.0,1.0,51
"How tall is the southern tower, the tallest gopuram, and when was it constructed?",en,meenakshi_amman_temple,Meenakshi Amman Temple,recursive,0.8032976388931274,1.0,1.0,1.0,51
"How tall is the southern tower, the tallest gopuram, and when was it constructed?",en,meenakshi_amman_temple,Meenakshi Amman Temple,semantic,0.8245521187782288,1.0,1.0,1.0,51
In what year did the Central Government of India first recognize Tamil as a classical language?,en,tamil_language,Tamil language,fixed,0.2527652382850647,1.0,0.67,1.0,54
In what year did the Central Government of India first recognize Tamil as a classical language?,en,tamil_language,Tamil language,recursive,0.8262903690338135,1.0,1.0,1.0,54
In what year did the Central Government of India first recognize Tamil as a classical language?,en,tamil_language,Tamil language,semantic,0.2527652382850647,1.0,0.67,1.0,54
In what year was Sadiraattam officially renamed Bharatanatyam?,en,bharatanatyam,Bharatanatyam,fixed,0.22919942438602448,1.0,0.67,1.0,55
In what year was Sadiraattam officially renamed Bharatanatyam?,en,bharatanatyam,Bharatanatyam,recursive,0.22919942438602448,1.0,0.67,1.0,55
In what year was Sadiraattam officially renamed Bharatanatyam?,en,bharatanatyam,Bharatanatyam,semantic,0.22919942438602448,1.0,0.67,1.0,55
In what year was the Indian National Congress founded?,en,indian_independence_movement,Indian independence movement,fixed,0.32680219411849976,1.0,0.67,1.0,56
In what year was the Indian National Congress founded?,en,indian_independence_movement,Indian independence movement,recursive,0.32680219411849976,1.0,0.6667,1.0,56
In what year was the Indian National Congress founded?,en,indian_independence_movement,Indian independence movement,semantic,0.32680219411849976,1.0,0.67,1.0,56
In what year was the Vijayanagara Empire founded and who were its founders?,en,vijayanagara_empire,Vijayanagara Empire,fixed,0.7353150844573975,1.0,0.6667,1.0,57
In what year was the Vijayanagara Empire founded and who were its founders?,en,vijayanagara_empire,Vijayanagara Empire,recursive,0.7353150844573975,1.0,1.0,1.0,57
In what year was the Vijayanagara Empire founded and who were its founders?,en,vijayanagara_empire,Vijayanagara Empire,semantic,0.6750036478042603,1.0,0.67,0.5,57
In what year was the Western Ghats declared a UNESCO World Heritage Site?,en,western_ghats,Western Ghats,fixed,0.28751513361930847,1.0,0.6666666667,1.0,58
In what year was the Western Ghats declared a UNESCO World Heritage Site?,en,western_ghats,Western Ghats,recursive,0.28751513361930847,1.0,0.67,1.0,58
In what year was the Western Ghats declared a UNESCO World Heritage Site?,en,western_ghats,Western Ghats,semantic,0.268187016248703,1.0,0.33,1.0,58
In which Indian state and union territory is Tamil primarily concentrated?,en,tamil_language,Tamil language,fixed,0.7527230978012085,1.0,1.0,1.0,59
In which Indian state and union territory is Tamil primarily concentrated?,en,tamil_language,Tamil language,recursive,0.7527230978012085,1.0,0.67,1.0,59
In which Indian state and union territory is Tamil primarily concentrated?,en,tamil_language,Tamil language,semantic,0.7431373000144958,1.0,1.0,1.0,59
"In which year did Gandhi return to India, and how old was he at that time?",en,mahatma_gandhi,Mahatma Gandhi,fixed,0.7822802662849426,1.0,0.67,1.0,62
"In which year did Gandhi return to India, and how old was he at that time?",en,mahatma_gandhi,Mahatma Gandhi,recursive,0.6357706785202026,1.0,0.67,1.0,62
"In which year did Gandhi return to India, and how old was he at that time?",en,mahatma_gandhi,Mahatma Gandhi,semantic,0.7822802662849426,1.0,0.6667,1.0,62
In which year did Kalam's project director role lead to the successful deployment of the Rohini satellite?,en,a_p_j_abdul_kalam,A. P. J. Abdul Kalam,fixed,0.6914434432983398,1.0,0.33,1.0,63
In which year did Kalam's project director role lead to the successful deployment of the Rohini satellite?,en,a_p_j_abdul_kalam,A. P. J. Abdul Kalam,recursive,0.2615883946418762,1.0,0.33,1.0,63
In which year did Kalam's project director role lead to the successful deployment of the Rohini satellite?,en,a_p_j_abdul_kalam,A. P. J. Abdul Kalam,semantic,0.27951472997665405,1.0,0.33,1.0,63
"In which year did Raman become the first Indian director of the Indian Institute of Science, and which city did he move to?",en,c_v_raman,C. V. Raman,fixed,0.8185853958129883,1.0,0.33,1.0,64
"In which year did Raman become the first Indian director of the Indian Institute of Science, and which city did he move to?",en,c_v_raman,C. V. Raman,recursive,0.8238959908485413,1.0,0.67,1.0,64
"In which year did Raman become the first Indian director of the Indian Institute of Science, and which city did he move to?",en,c_v_raman,C. V. Raman,semantic,0.18338429927825928,1.0,0.67,0.0,64
In which year was M. G. Ramachandran posthumously awarded the Bharat Ratna?,en,m_g_ramachandran,M. G. Ramachandran,fixed,0.3187997341156006,1.0,0.67,1.0,65
In which year was M. G. Ramachandran posthumously awarded the Bharat Ratna?,en,m_g_ramachandran,M. G. Ramachandran,recursive,0.8203792572021484,1.0,1.0,1.0,65
In which year was M. G. Ramachandran posthumously awarded the Bharat Ratna?,en,m_g_ramachandran,M. G. Ramachandran,semantic,0.3187997341156006,1.0,0.67,1.0,65
In which year was the city officially renamed from Madras to Chennai?,en,chennai,Chennai,fixed,0.2818681299686432,1.0,0.67,1.0,67
In which year was the city officially renamed from Madras to Chennai?,en,chennai,Chennai,recursive,0.2818681299686432,1.0,1.0,1.0,67
In which year was the city officially renamed from Madras to Chennai?,en,chennai,Chennai,semantic,0.2818681299686432,1.0,1.0,1.0,67
In which year was the state renamed Tamil Nadu?,en,tamil_nadu,Tamil Nadu,fixed,0.2832620143890381,1.0,0.67,1.0,69
In which year was the state renamed Tamil Nadu?,en,tamil_nadu,Tamil Nadu,recursive,0.8066051006317139,1.0,1.0,1.0,69
In which year was the state renamed Tamil Nadu?,en,tamil_nadu,Tamil Nadu,semantic,0.29920482635498047,1.0,0.6666666667,1.0,69
In which year was the temple adjudged the best 'Swachh Iconic Place' in India?,en,meenakshi_amman_temple,Meenakshi Amman Temple,fixed,0.2892049551010132,1.0,0.33,1.0,70
In which year was the temple adjudged the best 'Swachh Iconic Place' in India?,en,meenakshi_amman_temple,Meenakshi Amman Temple,recursive,0.2745896577835083,1.0,0.67,1.0,70
In which year was the temple adjudged the best 'Swachh Iconic Place' in India?,en,meenakshi_amman_temple,Meenakshi Amman Temple,semantic,0.2892049551010132,1.0,0.33,1.0,70
Name the five dwarf planets listed by the International Astronomical Union's Minor Planet Center.,en,solar_system,Solar System,fixed,0.47131550312042236,1.0,0.33,1.0,74
Name the five dwarf planets listed by the International Astronomical Union's Minor Planet Center.,en,solar_system,Solar System,recursive,0.47131550312042236,1.0,0.33,1.0,74
Name the five dwarf planets listed by the International Astronomical Union's Minor Planet Center.,en,solar_system,Solar System,semantic,0.47131550312042236,1.0,0.33,1.0,74
Name the major rivers that rise in the vicinity of the Himalayas.,en,himalayas,Himalayas,fixed,0.7751541137695312,1.0,0.33,1.0,76
Name the major rivers that rise in the vicinity of the Himalayas.,en,himalayas,Himalayas,recursive,0.7963058352470398,1.0,1.0,1.0,76
Name the major rivers that rise in the vicinity of the Himalayas.,en,himalayas,Himalayas,semantic,0.5978838205337524,1.0,0.33,1.0,76
Name three European travelers whose writings provide information about the Vijayanagara Empire.,en,vijayanagara_empire,Vijayanagara Empire,fixed,0.3226810693740845,1.0,0.6667,1.0,78
Name three European travelers whose writings provide information about the Vijayanagara Empire.,en,vijayanagara_empire,Vijayanagara Empire,recursive,0.3226810693740845,1.0,1.0,1.0,78
Name three European travelers whose writings provide information about the Vijayanagara Empire.,en,vijayanagara_empire,Vijayanagara Empire,semantic,0.3226810693740845,1.0,0.33,1.0,78
Name three countries outside the Indian subcontinent where Tamil inscriptions have been found.,en,tamil_language,Tamil language,fixed,0.5599532127380371,1.0,0.3333333333,1.0,79
Name three countries outside the Indian subcontinent where Tamil inscriptions have been found.,en,tamil_language,Tamil language,recursive,0.5599532127380371,1.0,0.6667,1.0,79
Name three countries outside the Indian subcontinent where Tamil inscriptions have been found.,en,tamil_language,Tamil language,semantic,0.5599532127380371,1.0,0.3333333333,1.0,79
Name three major river systems that originate in the Western Ghats.,en,western_ghats,Western Ghats,fixed,0.7638211250305176,1.0,0.33,1.0,80
Name three major river systems that originate in the Western Ghats.,en,western_ghats,Western Ghats,recursive,0.4476320445537567,1.0,0.33,1.0,80
Name three major river systems that originate in the Western Ghats.,en,western_ghats,Western Ghats,semantic,0.7849777340888977,1.0,0.33,1.0,80
Name three of Bharati's literary works that were composed around 1912.,en,subramania_bharati,Subramania Bharati,fixed,0.40629029273986816,1.0,0.33,1.0,81
Name three of Bharati's literary works that were composed around 1912.,en,subramania_bharati,Subramania Bharati,recursive,0.40629029273986816,1.0,0.33,1.0,81
Name three of Bharati's literary works that were composed around 1912.,en,subramania_bharati,Subramania Bharati,semantic,0.40629029273986816,1.0,0.33,1.0,81
Name two prominent leaders who followed Mahatma Gandhi’s non‑violent philosophy as mentioned in the article.,en,indian_independence_movement,Indian independence movement,fixed,0.4254607558250427,1.0,0.67,1.0,84
Name two prominent leaders who followed Mahatma Gandhi’s non‑violent philosophy as mentioned in the article.,en,indian_independence_movement,Indian independence movement,recursive,0.4254607558250427,1.0,0.33,1.0,84
Name two prominent leaders who followed Mahatma Gandhi’s non‑violent philosophy as mentioned in the article.,en,indian_independence_movement,Indian independence movement,semantic,0.4254607558250427,1.0,0.33,1.0,84
On what date did the Constitution of India establish the Republic of India?,en,indian_independence_movement,Indian independence movement,fixed,0.7866185307502747,1.0,0.67,1.0,86
On what date did the Constitution of India establish the Republic of India?,en,indian_independence_movement,Indian independence movement,recursive,0.3497180640697479,1.0,0.67,1.0,86
On what date did the Constitution of India establish the Republic of India?,en,indian_independence_movement,Indian independence movement,semantic,0.3066486716270447,1.0,0.6666666667,1.0,86
On what date was the Raman effect discovered?,en,c_v_raman,C. V. Raman,fixed,0.32808148860931396,1.0,0.67,1.0,89
On what date was the Raman effect discovered?,en,c_v_raman,C. V. Raman,recursive,0.32808148860931396,1.0,0.33,1.0,89
On what date was the Raman effect discovered?,en,c_v_raman,C. V. Raman,semantic,0.32808148860931396,1.0,0.6667,1.0,89
On which river's southern bank is Meenakshi Temple located?,en,meenakshi_amman_temple,Meenakshi Amman Temple,fixed,0.7959155440330505,1.0,0.67,1.0,90
On which river's southern bank is Meenakshi Temple located?,en,meenakshi_amman_temple,Meenakshi Amman Temple,recursive,0.7959155440330505,1.0,0.67,1.0,90
On which river's southern bank is Meenakshi Temple located?,en,meenakshi_amman_temple,Meenakshi Amman Temple,semantic,0.807025671005249,1.0,0.67,1.0,90
"Under which ruler did the empire reach its peak in the early 16th century, and what major territories did it annex?",en,vijayanagara_empire,Vijayanagara Empire,fixed,0.592348575592041,1.0,0.6667,1.0,94
"Under which ruler did the empire reach its peak in the early 16th century, and what major territories did it annex?",en,vijayanagara_empire,Vijayanagara Empire,recursive,0.6407477259635925,1.0,1.0,1.0,94
"Under which ruler did the empire reach its peak in the early 16th century, and what major territories did it annex?",en,vijayanagara_empire,Vijayanagara Empire,semantic,0.6085366010665894,1.0,0.67,1.0,94
"What alternative name for the Kaveri river signifies its comparison to the Ganges, and what does it translate to?",en,kaveri_river,Kaveri River,fixed,0.28715044260025024,1.0,0.0,0.0,95
"What alternative name for the Kaveri river signifies its comparison to the Ganges, and what does it translate to?",en,kaveri_river,Kaveri River,recursive,0.28715044260025024,1.0,0.0,0.0,95
"What alternative name for the Kaveri river signifies its comparison to the Ganges, and what does it translate to?",en,kaveri_river,Kaveri River,semantic,0.5720608234405518,1.0,0.3333333333,1.0,95
What architectural innovation resulted from merging different temple building traditions during the Vijayanagara period?,en,vijayanagara_empire,Vijayanagara Empire,fixed,0.5556176900863647,1.0,0.67,1.0,96
What architectural innovation resulted from merging different temple building traditions during the Vijayanagara period?,en,vijayanagara_empire,Vijayanagara Empire,recursive,0.6473637819290161,1.0,0.6667,1.0,96
What architectural innovation resulted from merging different temple building traditions during the Vijayanagara period?,en,vijayanagara_empire,Vijayanagara Empire,semantic,0.7030937671661377,0.9,0.6667,1.0,96
What are the four parallel mountain ranges that make up the Himalayas from south to north?,en,himalayas,Himalayas,fixed,0.7706709504127502,1.0,0.6666666667,1.0,99
What are the four parallel mountain ranges that make up the Himalayas from south to north?,en,himalayas,Himalayas,recursive,0.7363707423210144,1.0,0.67,1.0,99
What are the four parallel mountain ranges that make up the Himalayas from south to north?,en,himalayas,Himalayas,semantic,0.7363303303718567,1.0,0.33,1.0,99
What are the three categories of repertoire included in a Bharatanatyam performance?,en,bharatanatyam,Bharatanatyam,fixed,0.6635679602622986,1.0,0.33,1.0,101
What are the three categories of repertoire included in a Bharatanatyam performance?,en,bharatanatyam,Bharatanatyam,recursive,0.5187559723854065,1.0,0.67,1.0,101
What are the three categories of repertoire included in a Bharatanatyam performance?,en,bharatanatyam,Bharatanatyam,semantic,0.7727544903755188,1.0,0.67,1.0,101
"What are the three components represented in the backronym interpretation of the word ""Bharatam""?",en,bharatanatyam,Bharatanatyam,fixed,0.7056781053543091,1.0,0.33,1.0,102
"What are the three components represented in the backronym interpretation of the word ""Bharatam""?",en,bharatanatyam,Bharatanatyam,recursive,0.7218517661094666,1.0,1.0,1.0,102
"What are the three components represented in the backronym interpretation of the word ""Bharatam""?",en,bharatanatyam,Bharatanatyam,semantic,0.7051548957824707,1.0,0.33,1.0,102
What are the western and eastern anchor peaks of the Himalayas?,en,himalayas,Himalayas,fixed,0.5947036743164062,1.0,0.33,1.0,103
What are the western and eastern anchor peaks of the Himalayas?,en,himalayas,Himalayas,recursive,0.5947036743164062,1.0,0.33,1.0,103
What are the western and eastern anchor peaks of the Himalayas?,en,himalayas,Himalayas,semantic,0.5947036743164062,1.0,0.33,1.0,103
"What battle in 1565 marked a major decline in the empire’s power, and when did the empire finally cease to exist?",en,vijayanagara_empire,Vijayanagara Empire,fixed,0.7791668176651001,1.0,1.0,1.0,104
"What battle in 1565 marked a major decline in the empire’s power, and when did the empire finally cease to exist?",en,vijayanagara_empire,Vijayanagara Empire,recursive,0.7522566318511963,1.0,1.0,1.0,104
"What battle in 1565 marked a major decline in the empire’s power, and when did the empire finally cease to exist?",en,vijayanagara_empire,Vijayanagara Empire,semantic,0.7522566318511963,1.0,1.0,1.0,104
What distinction did Raman achieve when he received the Nobel Prize in Physics in 1930?,en,c_v_raman,C. V. Raman,fixed,0.5269542932510376,1.0,0.33,1.0,105
What distinction did Raman achieve when he received the Nobel Prize in Physics in 1930?,en,c_v_raman,C. V. Raman,recursive,0.7058694362640381,1.0,0.67,1.0,105
What distinction did Raman achieve when he received the Nobel Prize in Physics in 1930?,en,c_v_raman,C. V. Raman,semantic,0.7092535495758057,1.0,0.33,1.0,105
"What event in 1908 forced Bharati to live in exile in Pondicherry, and how long did his exile last?",en,subramania_bharati,Subramania Bharati,fixed,0.7869855165481567,1.0,0.67,1.0,108
"What event in 1908 forced Bharati to live in exile in Pondicherry, and how long did his exile last?",en,subramania_bharati,Subramania Bharati,recursive,0.7981720566749573,1.0,0.33,1.0,108
"What event in 1908 forced Bharati to live in exile in Pondicherry, and how long did his exile last?",en,subramania_bharati,Subramania Bharati,semantic,0.7921273708343506,1.0,0.67,1.0,108
What incident involving an Indian elephant occurred shortly before Bharati's death?,en,subramania_bharati,Subramania Bharati,fixed,0.5973072052001953,1.0,1.0,1.0,109
What incident involving an Indian elephant occurred shortly before Bharati's death?,en,subramania_bharati,Subramania Bharati,recursive,0.6908515691757202,1.0,0.67,1.0,109
What incident involving an Indian elephant occurred shortly before Bharati's death?,en,subramania_bharati,Subramania Bharati,semantic,0.6773636937141418,1.0,0.67,1.0,109
What is Tamil Nadu's rank in size among Indian states by area?,en,tamil_nadu,Tamil Nadu,fixed,0.812195360660553,1.0,0.67,1.0,111
What is Tamil Nadu's rank in size among Indian states by area?,en,tamil_nadu,Tamil Nadu,recursive,0.8367002010345459,1.0,1.0,1.0,111
What is Tamil Nadu's rank in size among Indian states by area?,en,tamil_nadu,Tamil Nadu,semantic,0.812195360660553,1.0,0.67,1.0,111
What is the capital and largest city of Tamil Nadu?,en,tamil_nadu,Tamil Nadu,fixed,0.5138135552406311,1.0,0.67,1.0,114
What is the capital and largest city of Tamil Nadu?,en,tamil_nadu,Tamil Nadu,recursive,0.5138135552406311,1.0,1.0,1.0,114
What is the capital and largest city of Tamil Nadu?,en,tamil_nadu,Tamil Nadu,semantic,0.5138135552406311,1.0,1.0,1.0,114
